Annotation_ID,Response_ID,Chatgpt_Label,Claude_Label,Deepseek_Label,Llama_Label,Qwen_Label,Human_Label,Final_Label
0,0,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
1,1,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
2,2,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
3,3,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
4,4,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
5,5,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
6,6,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
7,7,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
8,8,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
9,9,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
10,10,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
11,11,Neutral,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
12,12,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
13,13,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
14,14,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
15,15,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
16,16,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
17,17,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
18,18,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
19,19,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
20,20,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
21,21,Counter-Speech,Counter-Speech,Counter-Speech,Hate speech,Counter-Speech,,
22,22,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
23,23,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
24,24,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
25,25,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
26,26,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
27,27,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
28,28,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
29,29,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
30,30,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
31,31,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
32,32,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
33,33,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
34,34,Neutral,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
35,35,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
36,36,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
37,37,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
38,38,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
39,39,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
40,40,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
41,41,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech.,Counter-Speech,,
42,42,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
43,43,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
44,44,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
45,45,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
46,46,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
47,47,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
48,48,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
49,49,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
50,50,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
51,51,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
52,52,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
53,53,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
54,54,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
55,55,Neutral,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
56,56,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
57,57,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
58,58,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
59,59,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
60,60,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
61,61,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
62,62,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
63,63,Counter-Speech,Hate speech,Counter-Speech,Përgjigja: Counter-Speech,Counter-Speech,,
64,64,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
65,65,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
66,66,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
67,67,Counter-Speech,Counter-speech,Counter-Speech,Neutral,Counter-Speech,,
68,68,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
69,69,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
70,70,Counter-Speech,Counter-Speech,Counter-Speech,Refusal,Counter-Speech,,
71,71,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
72,72,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
73,73,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
74,74,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
75,75,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
76,76,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
77,77,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
78,78,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
79,79,Counter-Speech,Hate speech,Counter-Speech,Counter-Speech,Counter-Speech,,
80,80,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
81,81,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
82,82,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
83,83,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
84,84,Neutral,Counter-Speech,Neutral,Counter-Speech,Counter-Speech,,
85,85,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
86,86,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
87,87,Neutral,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
88,88,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
89,89,Counter-Speech,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
90,90,Counter-Speech,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
91,91,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,Counter-Speech,,
92,92,Neutral,Counter-Speech,Counter-Speech,Neutral,Counter-Speech,,
93,93,Neutral,Counter-Speech,Neutral,Neutral,Counter-Speech,,
94,94,Neutral,Hate speech,Counter-Speech,Neutral,Counter-Speech,,
